task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,R@10,bm25,bge-m3,113,0.005858744347426007,0.5670640892383167,0.5718054185821021,1.0,False
rat2rev,en,R@10,bm25,bge-reranker-v2-m3+bm25,113,0.0023157750606918196,0.15339600652722427,0.8783620319989488,1.0,False
rat2rev,en,R@10,bm25,bm25+d2e,113,0.01958065646327059,2.441594718273227,0.01618753819091698,0.29137568743650566,False
rat2rev,en,R@10,bm25,bm25+d2q,113,0.001094919061666289,0.3001055939626824,0.7646529085307128,1.0,False
rat2rev,en,R@10,bm25,bm25+q2d_zs.gpt-4.1-mini,113,0.0038471852631144668,0.8533243181231234,0.3953007694932486,1.0,False
rat2rev,en,R@10,bm25,bm25+q2d_zs.qwen3.5-9b,113,-0.0016090104585679808,-1.420569610409155,0.15821988995586986,1.0,False
rat2rev,en,R@10,bm25,bm25+q2e_zs.gpt-4.1-mini,113,0.004651690492398457,1.0503822077704799,0.29580357819102104,1.0,False
rat2rev,en,R@10,bm25,bm25+q2e_zs.qwen3.5-9b,113,0.0066558965021936605,1.3987339866885138,0.16465582883528979,1.0,False
rat2rev,en,R@10,bm25,bm25+task_q2e.gpt-4.1-mini,113,0.004249437877756461,0.9548105921648143,0.3417297799723177,1.0,False
rat2rev,en,R@10,bm25,bm25+task_q2e.qwen3.5-9b,113,0.005724364131443777,1.2240343147240635,0.22350793826510273,1.0,False
rat2rev,en,R@10,bm25,jina-reranker-v2+bm25,113,0.05861936493246848,4.563379906755872,1.296659676316427e-05,0.00045383088671074943,True
rat2rev,en,R@10,bm25,jina-v3,113,0.05171601139144199,3.535359740831214,0.000593279917366734,0.016018557768901816,True
rat2rev,en,R@10,bm25,jina-v3+d2e,113,0.05369468588934188,3.7499389315240035,0.00028168540600487105,0.008513583238377021,True
rat2rev,en,R@10,bm25,jina-v3+d2q,113,0.027504780429334515,2.3510680401569064,0.020468212443208605,0.3479596115345463,False
rat2rev,en,R@10,bm25,jina-v3+q2d_zs.gpt-4.1-mini,113,0.04126652104041579,3.0786780272975953,0.0026151526957246896,0.06799397008884193,False
rat2rev,en,R@10,bm25,jina-v3+q2d_zs.qwen3.5-9b,113,0.041306059041959366,3.0068361175883997,0.0032595162847602337,0.08148790711900585,False
rat2rev,en,R@10,bm25,jina-v3+q2e_zs.gpt-4.1-mini,113,0.050720969232840134,3.599192419337917,0.00047684453850951576,0.013351647078266441,True
rat2rev,en,R@10,bm25,jina-v3+q2e_zs.qwen3.5-9b,113,0.044803909673469866,3.7926439934147167,0.00024202414703332936,0.0077447727050665395,True
rat2rev,en,R@10,bm25,jina-v3+task_q2e.gpt-4.1-mini,113,0.050404058891237766,3.6654552182785425,0.0003790237999051564,0.010991690197249536,True
rat2rev,en,R@10,bm25,jina-v3+task_q2e.qwen3.5-9b,113,0.06229713477397071,4.269025472265587,4.129246746049379e-05,0.001403943893656789,True
rat2rev,en,R@10,bm25,mcontriever,113,-0.030794375729604438,-2.776658683242405,0.006439447107718401,0.12234949504664962,False
rat2rev,en,R@10,bm25,mcontriever-maxp-both,113,-0.014057177043567492,-1.674049970440557,0.09691127137372084,1.0,False
rat2rev,en,R@10,bm25,mcontriever-maxp-doc,113,-0.02480011573207897,-2.960094725288713,0.003754355481862647,0.08483986898666342,False
rat2rev,en,R@10,bm25,mcontriever-maxp-q,113,-0.015147682763815305,-1.2951848311320073,0.19791986571401424,1.0,False
