task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,R@10,jina-v3,bge-m3,113,-0.04585726704401598,-3.5612601353706106,0.0005431250471096197,0.01575062636617897,True
rat2rev,en,R@10,jina-v3,bge-reranker-v2-m3+bm25,113,-0.049400236330750164,-3.268117531067598,0.0014379661537679204,0.03163525538289425,True
rat2rev,en,R@10,jina-v3,bm25,113,-0.05171601139144199,-3.535359740831214,0.000593279917366734,0.01661183768626855,True
rat2rev,en,R@10,jina-v3,bm25+d2e,113,-0.032135354928171406,-2.179976296153253,0.0313521028767927,0.4702815431518905,False
rat2rev,en,R@10,jina-v3,bm25+d2q,113,-0.050621092329775706,-3.393616642837325,0.0009545102979435239,0.024817267746531622,True
rat2rev,en,R@10,jina-v3,bm25+q2d_zs.gpt-4.1-mini,113,-0.04786882612832753,-3.42233730021558,0.0008677675118628734,0.02342972282029758,True
rat2rev,en,R@10,jina-v3,bm25+q2d_zs.qwen3.5-9b,113,-0.05332502185000997,-3.6809710191278198,0.00035903877459112394,0.010771163237733718,True
rat2rev,en,R@10,jina-v3,bm25+q2e_zs.gpt-4.1-mini,113,-0.047064320899043534,-3.3423366621842563,0.0011299514251211522,0.02711883420290765,True
rat2rev,en,R@10,jina-v3,bm25+q2e_zs.qwen3.5-9b,113,-0.04506011488924834,-3.192467406984901,0.0018313494266796889,0.03845833796027347,True
rat2rev,en,R@10,jina-v3,bm25+task_q2e.gpt-4.1-mini,113,-0.047466573513685544,-3.383574009306562,0.0009867158932769535,0.024817267746531622,True
rat2rev,en,R@10,jina-v3,bm25+task_q2e.qwen3.5-9b,113,-0.04599164725999822,-3.286496213271318,0.0013551165203841856,0.03116767996883627,True
rat2rev,en,R@10,jina-v3,jina-reranker-v2+bm25,113,0.006903353541026492,0.4529858459634294,0.6514352600541222,1.0,False
rat2rev,en,R@10,jina-v3,jina-v3+d2e,113,0.0019786744978998855,0.22218696714615918,0.8245729898641236,1.0,False
rat2rev,en,R@10,jina-v3,jina-v3+d2q,113,-0.02421123096210748,-2.36846590499109,0.019575178308730342,0.31320285293968547,False
rat2rev,en,R@10,jina-v3,jina-v3+q2d_zs.gpt-4.1-mini,113,-0.010449490351026203,-1.5380994760680968,0.12684474279509114,1.0,False
rat2rev,en,R@10,jina-v3,jina-v3+q2d_zs.qwen3.5-9b,113,-0.01040995234948263,-1.5795330416418871,0.11703402115042445,1.0,False
rat2rev,en,R@10,jina-v3,jina-v3+q2e_zs.gpt-4.1-mini,113,-0.0009950421586018667,-0.21649727003681593,0.8289939955605586,1.0,False
rat2rev,en,R@10,jina-v3,jina-v3+q2e_zs.qwen3.5-9b,113,-0.006912101717972129,-0.737772952680139,0.4621953930703714,1.0,False
rat2rev,en,R@10,jina-v3,jina-v3+task_q2e.gpt-4.1-mini,113,-0.0013119525002042332,-0.23304688905671156,0.8161503695260527,1.0,False
rat2rev,en,R@10,jina-v3,jina-v3+task_q2e.qwen3.5-9b,113,0.01058112338252872,2.4291661066899217,0.016723615298528057,0.284301460074977,False
rat2rev,en,R@10,jina-v3,mcontriever,113,-0.08251038712104643,-5.3501342511384165,4.710825525154132e-07,1.5545724233008635e-05,True
rat2rev,en,R@10,jina-v3,mcontriever-maxp-both,113,-0.06577318843500947,-4.503275492849408,1.649015635087107e-05,0.0005276850032278742,True
rat2rev,en,R@10,jina-v3,mcontriever-maxp-doc,113,-0.07651612712352096,-5.393768153696979,3.88648809042983e-07,1.3214059507461422e-05,True
rat2rev,en,R@10,jina-v3,mcontriever-maxp-q,113,-0.06686369415525728,-4.18359317807132,5.7267167827381874e-05,0.001775282202648838,True
rat2rev,en,R@10,jina-v3,mdpr,113,-0.09366229317465659,-5.681199036015571,1.0727577125183493e-07,3.876167732594002e-06,True
rat2rev,en,R@10,jina-v3,mdpr-maxp-both,113,-0.08861396844227822,-5.726059053239909,8.748355415277456e-08,3.324375057805433e-06,True
rat2rev,en,R@10,jina-v3,mdpr-maxp-doc,113,-0.08858766834243269,-5.686425044357213,1.0476129007010816e-07,3.876167732594002e-06,True
rat2rev,en,R@10,jina-v3,mdpr-maxp-q,113,-0.09347141909384109,-5.662322291623442,1.1686097605170338e-07,4.090134161809618e-06,True
rat2rev,en,R@10,jina-v3,me5-base,113,-0.04487958751326189,-2.914100937304814,0.004307991295737912,0.08615982591475824,False
rat2rev,en,R@10,jina-v3,me5-base-maxp-both,113,-0.0278010677207275,-1.888550285992322,0.061539078785682905,0.7701850089147392,False
rat2rev,en,R@10,jina-v3,me5-base-maxp-doc,113,-0.04132653293391561,-2.7801722137849256,0.0063747032515592385,0.12111936177962553,False
rat2rev,en,R@10,jina-v3,me5-base-maxp-q,113,-0.03357940939046346,-2.1676626527571194,0.03230122615239194,0.4702815431518905,False
rat2rev,en,R@10,jina-v3,qwen3-reranker-0.6b+bm25,113,0.012691257024316649,0.7885811473345081,0.43202285965910014,1.0,False
rat2rev,en,R@10,jina-v3,qwen3-reranker-4b+bm25,113,0.0051027848969889085,0.3189662631090784,0.7503462007886106,1.0,False
rat2rev,en,R@10,jina-v3,qwen3-reranker-8b+bm25,113,0.021406807255771917,1.3348290811857266,0.1846393831781736,1.0,False
rat2rev,en,R@10,jina-v3,rankgpt-gpt-4.1-mini+bm25,113,0.02042481360429499,1.3095829916575732,0.19301698153456334,1.0,False
rat2rev,en,R@10,jina-v3,rankgpt-gpt-4.1-nano+bm25,113,-0.03669854569461394,-2.493984999021935,0.014092290971366148,0.2536612374845907,False
rat2rev,en,R@10,jina-v3,rankgpt-gpt-5.4-mini+bm25,113,0.03239429349162006,1.9057591701892178,0.059245000685749165,0.7701850089147392,False
rat2rev,en,R@100,jina-v3,bge-m3,113,-0.1110189349313561,-4.251001293710404,4.425768399599315e-05,0.0003983191559639384,True
rat2rev,en,R@100,jina-v3,bge-reranker-v2-m3+bm25,113,-0.1053281043742197,-5.119832565035163,1.2820601319056818e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,bm25,113,-0.1053281043742197,-5.119832565035163,1.2820601319056818e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,bm25+d2e,113,-0.03974694977847459,-1.9235883454610827,0.056944527183198396,0.39861169028238874,False
rat2rev,en,R@100,jina-v3,bm25+d2q,113,-0.11085423263506503,-4.855851809392177,3.917737161510179e-06,4.84613085767307e-05,True
rat2rev,en,R@100,jina-v3,bm25+q2d_zs.gpt-4.1-mini,113,-0.10488152907166731,-5.034012431687727,1.850211125141885e-06,3.333356342954773e-05,True
rat2rev,en,R@100,jina-v3,bm25+q2d_zs.qwen3.5-9b,113,-0.10802867229725946,-5.22037146719363,8.305670874756238e-07,2.2425311361841843e-05,True
rat2rev,en,R@100,jina-v3,bm25+q2e_zs.gpt-4.1-mini,113,-0.09974540502525277,-4.795534240566718,5.032650643342214e-06,5.535915707676435e-05,True
rat2rev,en,R@100,jina-v3,bm25+q2e_zs.qwen3.5-9b,113,-0.10237257150815088,-4.8677697196753735,3.7277929674408228e-06,4.84613085767307e-05,True
rat2rev,en,R@100,jina-v3,bm25+task_q2e.gpt-4.1-mini,113,-0.10184645557763075,-4.913727415312411,3.0756354160405203e-06,4.3058895824567284e-05,True
